bik;name;coraccount;isactive;isbank;address
044525832;ЗАО 'МАБ';30101810000000000832;1;1;МОСКВА, ЛЕНИНГРАДСКИЙ ПР.,37-12
044579146;КБ СССБ (ООО);30101810100000000146;1;1;МОСКВА, УЛ.БАЛЧУГ,3/2
044525247;БАНК 'СКС' (ООО);30101810200000000247;1;1;МОСКВА, УЛ.ПОВАРСКАЯ,23 СТР.4
044599766;БАНК ИТБ (ОАО);30101810300000000766;1;1;МОСКВА, УЛ.ШУМКИНА,20 СТР.1
044583746;ЗАО 'СМАРТБАНК';30101810400000000746;1;1;МОСКВА, УЛ.ПИСЦОВАЯ,13'А'
044583911;ОАО 'ГУТА-БАНК';30101810400000000911;1;1;МОСКВА, ОРЛИКОВ ПЕР.,5 СТР.3
044583271;ЗАО 'ГРИНФИЛДБАНК';30101810700000000271;1;1;МОСКВА, М.ГОЛОВИН ПЕР.,8
045354886;ОИКБ 'РУСЬ' (ООО);30101810700000000886;1;1;ОРЕНБУРГ, ПЕР.ШЕВЧЕНКО,7
044579721;КБ 'МРБ' (ООО);30101810800000000721;1;1;МОСКВА, УЛ.ЛЮБЛИНСКАЯ,151
046311751;ОАО 'НВКБАНК';30101810100000000751;1;1;САРАТОВ, УЛ.ИМ.РАХОВА В.Г.,129
045279731;ОАО АКБ 'ИТ БАНК';30101810900000000731;1;1;ОМСК, УЛ.ДУМСКАЯ,7
047888749;ФИЛИАЛ N 7611 ВТБ 24 (ЗАО);30101810978880000749;1;1;ЯРОСЛАВЛЬ, УЛ.УГЛИЧСКАЯ,21
044583104;АК ФБ ИННОВАЦИЙ И РАЗВИТИЯ (ЗАО);﻿30101810000000000104;1;1;МОСКВА, УЛ.ТКАЦКАЯ,11 СТР.1
044579110;АКБ 'ИНТЕРКООПБАНК' (ОАО);30101810000000000110;1;1;МОСКВА, ПР.ВЕРНАДСКОГО,41
044585111;ООО 'БАНК ПСА ФИНАНС РУС';30101810000000000111;1;1;МОСКВА, ЧИСТОПРУДНЫЙ Б-Р,17 С.1 3-Й ЭТ
044583120;КБ 'РОСПРОМБАНК' (ООО);30101810000000000120;1;1;МОСКВА, УЛ.МЯСНИЦКАЯ,35 СТР.2
044585124;ОАО 'НДБ';30101810000000000124;1;1;МОСКВА, УЛ.ДУБИНИНСКАЯ,57 СТР.1
044585140;КБ 'БМБ' (ООО);30101810000000000140;1;1;НОГИНСК, УЛ.СОВЕТСКАЯ,45
044579149;КУ ООО КБ 'СЕМБАНК' - ГК 'АСВ';30101810000000000149;1;1;МОСКВА, ВЕРХНИЙ ТАГАНСКИЙ ТУПИК,4
044585153;КУ ООО КБ 'ОБЪЕДИНЕННЫЙ БАНК РАЗВИТИЯ';30101810000000000153;1;1;МОСКВА, ЛЕНИНГРАДСКИЙ ПР.,9 ОФИС К
044525159;'МЕРСЕДЕС-БЕНЦ БАНК РУС' ООО;30101810000000000159;1;1;МОСКВА, ЛЕНИНГРАДСКИЙ ПР.,39А
044583162;ЗАО АКБ 'НОВИКОМБАНК';30101810000000000162;1;1;МОСКВА, ЯКИМАНСКАЯ НАБ.,4/4 СТР.2
044585166;ОАО 'ТЭМБР-БАНК';30101810000000000166;1;1;МОСКВА, 1-Й ВОЛКОНСКИЙ ПЕР.,10
044579194;АКБ 'ЕВРОМЕТ' (ОАО);30101810000000000194;1;1;МОСКВА, УЛ.НЕГЛИННАЯ,18/1 СТР.1А
043601878;ОАО 'АК БАНК';30101810000000000878;1;1;САМАРА, УЛ.ВИЛОНОВСКАЯ,84
043304711;ОАО КБ 'ХЛЫНОВ';30101810100000000711;1;1;КИРОВ, УЛ.УРИЦКОГО,40
045773705;ЗАО АКИБ 'ПОЧТОБАНК';30101810400000000705;1;1;ПЕРМЬ, УЛ.ЛЕНИНА,68
